"","","","LG_Char","0.51"
"","","","GBD Version","4.01.2591","","","","","Temp","Limits Method"
"","","","Date","06-Feb-22 11:52:48 PM (PST)","","","","","32","Guaranteed By Design"
"","","","Die Type","VK78A-0B","","","","","",""
"","","","Product","Wafer Sort","","","","","",""
"","","","Lot Number","","","","","","",""
"","","","Wafer Number","","","","","","",""
"","","","Engineer","","","","","","",""
"","","","Approved By","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","","","","","",""
"","","","","","TestType","","","Mean","Median","StDev","Min","Max","","NoScale","PD","SD","OD","SU","OU","NSigDown","NSigUp","GBDMinck","GBDMaxck","GBDMin","GBDMax","TesterLow","TesterHigh","LimitOverrideLow","LimitOverrideHigh","ECMinInput","ECMaxInput","GBCalcType","GBCalcTester","GBCalcComp","GBCalcGage1","GBCalcGage2","GBCalcCorrTar","GBCalcCorrDeltaMin","GBCalcCorrDeltaMax","GBCalcIns","GBCalcSupplyMean","GBCorrReq","GBCalcBlank","GBTestType","LimitsMethod","GBTempReq","GBTempMeansTested","GBTempMeanMin","GBTempMeanMax","GBTempDriftNeg","GBTempDriftPos","GBTempSigmaDriftMin","GBTempSigmaDriftMax","GBTempSigmaMin","GBTempSigmaMax","GBResCalcGage","GBTempValidDriftNeg","GBTempValidDriftPos","GBTempECShiftMin","GBTempECShiftMax","GBUncertaintyMin","GBUncertaintyMax","GBResDefMin","GBResDefMax","GBResCalcMinTotal","GBResCalcMaxTotal","GBResUserLow","GBResUserHigh","GBResAppLow","GBResAppHigh","CalcEC","ECMinOutput","ECMaxOutput","FTMin","FTMax","FTSPFOnlyMin","FTSPFOnlyMax","FTSPFMin","FTSPFMax","","SigmaP","SigmaD","GBDPassedMethod","","","","","","dB","Group"
"","","","Test #","Test Name","Test Type","Temp","Unit","Mean","Median","Standard Deviation","Min","Max","","Default Scales?","Process Dependent","Scale (Down)","Offset (Down)","Scale (Up)","Offset (Up)","N Sigma (Down)","N Sigma (Up)","GBD No Scale Min","GBD No Scale Max","GBD Min","GBD Max","EC/QA Low Limit (from tester)","EC/QA High Limit (from tester)","EC/QA Low Limit (Override)","EC/QA High Limit (Override)","EC / QA Min (Input)","EC / QA Max (Input)","GB Type","Tester Accuracy","HW Component Accuracy","T2T Gage or Combined Gage Sigma","B2B Gage Sigma","Correlation Target","Correlation Delta Min","Correlation Delta Max","Insertion Repeatability","Supply Mean Shift","Correlation Components Required?","Calculation Blank?","GB Test Type?","Limits Method","Temperature Components Required?","Means of Temperatures tested","Temperature Mean Shift (Min)","Temperature Mean Shift (Max)","NegDrift","PosDrift","Temperature Sigma Drift","Temperature Sigma Drift","Temperature Sigma Shift (Min)","Temperature Sigma Shift (Max)","Calculated Gage Components","Valid NegDrift","Valid PosDrift","EC Shift (Min)","EC Shift (Max)","Uncertainty GB (Min)","Uncertainty GB (Max)","Default Guardband (Min)","Default Guardband (Max)","Calculated Guardband (Min)","Calculated Guardband (Max)","Override Guardband (Min)","Override Guardband (Max)","Applied Guardband (Min)","Applied Guardband (Max)","Calc EC?","EC / QA Min (Output)","EC / QA Max (Output)","FT Min","FT Max","(For Calc Only) SPF (Min)","(For Calc Only) SPF (Max)","(For Calc Only) FT SPF (Min)","(For Calc Only) FT SPF (Min)","QA
GBD
Flag","Population Sigmas Passed","Drift Sigmas Passed","Passed GBD by Method","QA CPK","FT CPK","FT CP Low","FT CP High","Yield Loss","","","Data Sheet Parameter","Notes","","","Sigma T Max","Sigma TSPF Max","Sigma T","32","","Neg Mean Drift","Pos Mean Drift","Drift Temp","32"
"","","","1001490","T001.CLK_EN_AVDD_(Opens)/","PROD - EC","32","mV","-631.0068","-630.209","4.429535","-655.7093","-626.2852","","","TRUE","1.33","0","0.66","0","","","","","-874.5867","-398.9235","","","-800.0","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","45.0","45.0","0.0","0.0","","","45.0","45.0","","","","-755.0","55.0","","","","","Fail","-6.660534","","","1.372776","994.3575E-03","","","0.14268514043205632%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001500","T001.SNSP_AVDD_(Opens)/","PROD - EC","32","mV","724.3757","720.4448","13.51654","715.5024","849.0467","","","TRUE","0.66","0","1.33","0","","","","","424.5624","1.071281E+03","","","-100.0","1.3E+03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","70.0","70.0","0.0","0.0","","","70.0","70.0","","","","-30.0","1.23E+03","","","","","Pass","18.72281","","","3.414636","2.981681","","","0.0000000000000000000000000000000000000000000015697224362839005%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001510","T001.SNSN_AVDD_(Opens)/","PROD - EC","32","mV","640.1292","638.1935","9.271379","634.0602","794.4588","","","TRUE","0.66","0","1.33","0","","","","","385.7706","925.3574","","","-100.0","1.3E+03","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","70.0","70.0","0.0","0.0","","","70.0","70.0","","","","-30.0","1.23E+03","","","","","Pass","36.38232","","","4.777254","4.258339","","","0.000000000000000000000000000000000000000000000000008695330427758164%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001101","T001.EN_(Opens)/","PROD - EC","32","mV","-569.7072","-566.4207","14.92666","-789.6262","-563.5407","","","TRUE","1.33","0","0.66","0","","","","","-876.8254","-316.8971","","","-1.0E+03","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","55.0","55.0","0.0","0.0","","","55.0","55.0","","","","-945.0","45.0","","","","","Pass","12.20449","","","2.879931","2.487023","","","0.00000000000429111051566682%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001031","T001.LDOIN_(Opens)/","PROD - EC","32","mV","-573.2290","-569.1302","16.51864","-794.3632","-565.3537","","","TRUE","1.33","0","0.66","0","","","","","-894.2134","-312.9173","","","-1.0E+03","100.0","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","55.0","55.0","0.0","0.0","","","55.0","55.0","","","","-945.0","45.0","","","","","Pass","10.81508","","","2.727935","2.349471","","","0.0000000000904847566098424%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001240","T001.AVDD_(Shorts)/","PROD - EC","32","mV","-359.4478","-358.2090","8.264205","-580.2113","-353.5209","","","TRUE","1.33","0","0.66","0","","","","","-544.0139","-204.5092","","","-637.9619","-138.3965","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","24.97827","24.97827","0.0","0.0","","","24.97827","24.97827","","","","-612.9836","-163.3747","","","","","Pass","14.54741","","","2.778932","2.484641","","","0.000000000004531327085481983%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001280","T001.SNSP_(Shorts)/","PROD - EC","32","mV","-662.6054","-658.9722","13.36561","-796.6445","-652.9715","","","TRUE","1.33","0","0.66","0","","","","","-987.9227","-384.3917","","","-1.0E+03","-400.0000","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","29.99999","29.99999","0.0","0.0","","","29.99999","29.99999","","","","-970.0000","-430.0000","","","","","Fail","4.230618","","","1.896553","1.697723","","","0.000018438576809905756%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001250","T001.SNSN_(Shorts)/","PROD - EC","32","mV","-556.7765","-551.5103","20.80801","-796.8817","-536.5685","","","TRUE","1.33","0","0.66","0","","","","","-906.5608","-285.0728","","","-1.000722E+03","-207.2584","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","39.67321","39.67321","0.0","0.0","","","39.67321","39.67321","","","","-961.0494","-246.9316","","","","","Pass","9.402456","","","2.500826","2.245482","","","0.000000000899651579472189%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001400","T001.PGOOD_(Shorts)/","PROD - EC","32","mV","-412.0469","-407.8252","21.05183","-792.0857","-388.7465","","","TRUE","1.33","0","0.66","0","","","","","-716.0160","-188.5856","","","-777.7750","-131.7339","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","32.30205","32.30205","0.0","0.0","","","32.30205","32.30205","","","","-745.4730","-164.0360","","","","","Pass","8.205764","","","2.431159","2.186183","","","0.000000003993965128821539%","",""," "," "," "," ","32"," "," "," "," ","32",,,
"","","","1001260","T001.VCC_(Shorts)/","PROD - EC","32","mV","-338.5764","-337.0502","12.09147","-733.3241","-332.1474","","","TRUE","1.33","0","0.66","0","","","","","-546.7965","-175.5782","","","-580.8647","-140.1982","","","Both","","","","","","","","","","","","","Guaranteed By Design","","","","","","","","","","","","","","","","","","22.03332","22.03332","0.0","0.0","","","22.03332","22.03332","","","","-558.8314","-162.2316","","","","","Pass","8.118449","","","2.367095","2.129679","","","0.000000014666533727614361%","",""," "," "," "," ","32"," "," "," "," ","32",,,
