Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax,
17200030,-9.909,uA,-9.909275,uA,,,-7.866,uA,-7.865818,uA,,
17200035,1.754,mA,1.754198,mA,,,1.984,mA,1.984048,mA,,
17200040,-11.302,nA,-11.3015,nA,,,178.793,nA,178.7932,nA,,
17200041,-78.47,nA,-78.46981,nA,,,217.163,nA,217.1628,nA,,
17200042,-42.252,nA,-42.25237,nA,,,242.713,nA,242.7131,nA,,
17200045,7.701,uA,7.701365,uA,,,10.413,uA,10.41276,uA,,
17200050,-0.737,uA,-0.7374939,uA,,,1.077,uA,1.076533,uA,,
17200060,-2.002,nA,-2.001527,nA,,,255.284,nA,255.2841,nA,,
17200070,-0.109,uA,-0.1090518,uA,,,0.136,uA,0.1357492,uA,,
1005010,1.78,V,1.78,V,,,1.85,V,1.85,V,,
1005030,1.75,V,1.75,V,,,1.9,V,1.9,V,,
1005050,16.5,V,16.5,V,,,17.5,V,17.5,V,,
1005070,5,mA,4.999999,mA,,,13.766,mA,13.76565,mA,,
1005110,2,mA,2,mA,,,51.8,mA,51.8,mA,,
1006110,19,V,19,V,,,28,V,28,V,,
1006120,19,V,19,V,,,28,V,28,V,,
1006130,19,V,19,V,,,28,V,28,V,,
1006140,19,V,19,V,,,28,V,28,V,,
1006150,21,V,21,V,,,28,V,28,V,,
1006310,18,V,18,V,,,26,V,26,V,,
1006320,18,V,18,V,,,26,V,26,V,,
1006330,18,V,18,V,,,26,V,26,V,,
1006340,18,V,18,V,,,26,V,26,V,,
1006350,21,V,21,V,,,26,V,26,V,,
1006510,-8.94,mA,-8.94,mA,,,-7.03,mA,-7.03,mA,,
1006530,37,mA,37,mA,,,39,mA,39,mA,,
1007010,-317.962,mV,-317.9618,mV,,,-129.293,mV,-129.2934,mV,,
1007030,-18.757,uA,-18.75658,uA,,,-2.977,uA,-2.976844,uA,,
1007035,1.377,mA,1.377199,mA,,,2.408,mA,2.408299,mA,,
1007040,-37.794,nA,-37.7945,nA,,,793.023,nA,793.0233,nA,,
1007041,-76.587,nA,-76.58675,nA,,,900.96,nA,900.96,nA,,
1007042,-58.38,nA,-58.37987,nA,,,1110.811,nA,1110.811,nA,,
1007045,2.025,uA,2.02539,uA,,,40.098,uA,40.09842,uA,,
1007050,-0.031,uA,-0.03121592,uA,,,0.94,uA,0.9404213,uA,,
1007060,-46.42,nA,-46.41969,nA,,,1032.203,nA,1032.203,nA,,
1007070,-0.459,uA,-0.4588816,uA,,,0.574,uA,0.5737823,uA,,
1007080,-7291.677,nA,-7291.677,nA,,,6598.776,nA,6598.776,nA,,
1007090,-2.183,uA,-2.182993,uA,,,14.351,uA,14.35099,uA,,
1007110,-25,mV,-25,mV,,,25,mV,25,mV,,
1007130,-11.068,uA,-11.06791,uA,,,-5.666,uA,-5.665812,uA,,
1007135,1.377,mA,1.377266,mA,,,2.408,mA,2.408251,mA,,
1007140,-0.028,uA,-0.02832438,uA,,,0.678,uA,0.6779723,uA,,
1007141,-0.069,uA,-0.0687752,uA,,,0.646,uA,0.6461924,uA,,
1007142,-0.541,uA,-0.5412187,uA,,,10.889,uA,10.88881,uA,,
1007145,2.011,uA,2.010698,uA,,,40.046,uA,40.04588,uA,,
1007150,-86.331,nA,-86.33114,nA,,,1131.881,nA,1131.881,nA,,
1007160,-59.469,nA,-59.46851,nA,,,982.597,nA,982.5972,nA,,
1007170,-0.473,uA,-0.4734376,uA,,,0.587,uA,0.5872638,uA,,
1007210,15.9,V,15.89999,V,,,16.1,V,16.1,V,,
1007230,-18.755,uA,-18.75475,uA,,,-2.977,uA,-2.977423,uA,,
1007235,1.152,mA,1.151714,mA,,,2.65,mA,2.649728,mA,,
1007240,-0.036,uA,-0.03611799,uA,,,0.741,uA,0.7406269,uA,,
1007241,-0.078,uA,-0.078304,uA,,,0.903,uA,0.9031424,uA,,
1007242,-0.064,uA,-0.0643668,uA,,,1.005,uA,1.005285,uA,,
1007245,2.049,uA,2.049089,uA,,,40.94,uA,40.93993,uA,,
1007250,-0.056,uA,-0.05565015,uA,,,1.161,uA,1.160579,uA,,
1007260,-25.005,nA,-25.00483,nA,,,1242.785,nA,1242.785,nA,,
1007270,-412.169,nA,-412.1693,nA,,,523.803,nA,523.8032,nA,,
1007280,-3.72,uA,-3.720363,uA,,,39.817,uA,39.8174,uA,,
1009110,-12.184,mV,-12.18434,mV,,,21.625,mV,21.62535,mV,,
1009130,-9.126,uA,-9.125749,uA,,,-4.744,uA,-4.743948,uA,,
1009140,-0.037,uA,-0.03701367,uA,,,0.753,uA,0.7533365,uA,,
1009145,1.693,uA,1.693052,uA,,,32.92,uA,32.92046,uA,,
1009210,11.9,V,11.89999,V,,,12.1,V,12.1,V,,
1009230,-15.468,uA,-15.46781,uA,,,-2.5,uA,-2.49974,uA,,
1009240,-0.04,uA,-0.04032564,uA,,,0.77,uA,0.7696917,uA,,
1009245,1.717,uA,1.717305,uA,,,33.332,uA,33.33164,uA,,
16400010,-8,mV,-8,mV,,,12,mV,12,mV,,
16400030,-0.232,uA,-0.2317358,uA,,,0.26,uA,0.2603297,uA,,
16400035,-0.058,mA,-0.05768141,mA,,,0.047,mA,0.04743334,mA,,
16400040,-40.292,nA,-40.29192,nA,,,29.139,nA,29.13936,nA,,
16400045,-0.243,uA,-0.2426542,uA,,,0.279,uA,0.2788166,uA,,
16400060,-74.312,nA,-74.31196,nA,,,87.476,nA,87.47575,nA,,
16400070,-0.152,uA,-0.1518394,uA,,,0.152,uA,0.152351,uA,,
16400080,-52.2,uA,-52.2,uA,,,35.1,uA,35.1,uA,,
16400090,-200,uA,-199.9999,uA,,,297,uA,296.9999,uA,,
16400110,-12,mV,-12,mV,,,12,mV,12,mV,,
16400111,-0.237,uA,-0.2373488,uA,,,0.266,uA,0.2658665,uA,,
16400135,-0.058,mA,-0.05751897,mA,,,0.047,mA,0.04734103,mA,,
16400140,-0.1,uA,-0.1,uA,,,0.1,uA,0.1,uA,,
16400145,-29.7,uA,-29.7,uA,,,44.5,uA,44.5,uA,,
16400160,-200,nA,-200,nA,,,200,nA,200,nA,,
16400170,-0.3,uA,-0.3,uA,,,0.3,uA,0.3,uA,,
16400210,-0.012,V,-0.012,V,,,0.012,V,0.012,V,,
16400211,-0.255,uA,-0.2550648,uA,,,0.283,uA,0.2829991,uA,,
16400235,-0.1,mA,-0.09999999,mA,,,0.1,mA,0.09999999,mA,,
16400240,-0.1,uA,-0.1,uA,,,0.1,uA,0.1,uA,,
16400245,-1.211,uA,15.83512,uA,X,,15.835,uA,-1.210797,uA,X,RESOLVED - need to swap limits
16400260,-200,nA,-200,nA,,,200,nA,200,nA,,
16400270,-300,nA,-300,nA,,,300,nA,300,nA,,
16400280,-1.28,uA,-1.279834,uA,,,1.264,uA,1.264219,uA,,
1008010,-300,mV,-300,mV,,,-170,mV,-170,mV,,
1008030,-14.262,uA,-14.26223,uA,,,-7.329,uA,-7.329492,uA,,
1008035,1.834,mA,1.834179,mA,,,3.46,mA,3.459831,mA,,
1008040,-7.976,uA,-7.97607,uA,,,19.589,uA,19.58933,uA,,
1008045,1.045,uA,1.044804,uA,,,20.989,uA,20.98908,uA,,
1008060,73.795,nA,73.79487,nA,,,1060.948,nA,1060.948,nA,,
1008070,-7.487,uA,-7.486803,uA,,,-2.36,uA,-2.359991,uA,,
1008080,-30.077,uA,-30.07743,uA,,,28.684,uA,28.68357,uA,,
1008090,-138.554,uA,-138.5542,uA,,,144.681,uA,144.6814,uA,,
1008110,-50,mV,-50,mV,,,50,mV,50,mV,,
1008130,-13.6,uA,-13.59999,uA,,,-7.33,uA,-7.329858,uA,,
1008135,2.2,mA,2.2,mA,,,3.46,mA,3.460189,mA,,
1008140,1,uA,0.9999999,uA,,,19.646,uA,19.64567,uA,,
1008145,9,uA,9,uA,,,23.903,uA,23.90282,uA,,
1008160,274,nA,274,nA,,,2961.405,nA,2961.405,nA,,
1008170,-5.94,uA,-5.939999,uA,,,-2.485,uA,-2.484575,uA,,
1008210,17.95,V,17.95,V,,,18.05,V,18.05,V,,
1008230,-13.6,uA,-13.59999,uA,,,-7.143,uA,-7.142776,uA,,
1008235,2.13,mA,2.129999,mA,,,3.861,mA,3.86147,mA,,
1008240,0,uA,0,uA,,,20.232,uA,20.23244,uA,,
1008245,5,uA,4.999999,uA,,,84.129,uA,84.1289,uA,,
1008260,-0.068,uA,-0.06799999,uA,,,3.247,uA,3.247267,uA,,
1008270,-5.95,uA,-5.949999,uA,,,-2.666,uA,-2.665804,uA,,
1008280,-50,uA,-49.99999,uA,,,1773.929,uA,1773.929,uA,,
220020,0,none,0,one,,,0,none,0,one,,
220030,0,none,0,one,,,138,none,1.38E-07,one,X,IGNORE
2000000,0,none,0,one,,,0,none,0,one,,
2000001,0,none,0,one,,,0,none,0,one,,
2000002,0,none,0,one,,,0,none,0,one,,
2000003,0,none,0,one,,,0,none,0,one,,
2000004,0,none,0,one,,,0,none,0,one,,
2000005,0,none,0,one,,,0,none,0,one,,
2000006,0,none,0,one,,,0,none,0,one,,
2000007,0,none,0,one,,,0,none,0,one,,
2000008,0,none,0,one,,,0,none,0,one,,
2000009,0,none,0,one,,,0,none,0,one,,
2000010,0,none,0,one,,,0,none,0,one,,
2000011,0,none,0,one,,,0,none,0,one,,
2000012,0,none,0,one,,,0,none,0,one,,
2000013,0,none,0,one,,,0,none,0,one,,
2000014,0,none,0,one,,,0,none,0,one,,
2000015,0,none,0,one,,,0,none,0,one,,
2000016,0,none,0,one,,,0,none,0,one,,
2000017,0,none,0,one,,,255,none,2.55E-07,one,X,IGNORE
2000018,0,none,0,one,,,255,none,2.55E-07,one,X,IGNORE
2000019,0,none,0,one,,,255,none,2.55E-07,one,X,IGNORE
2000020,0,none,0,one,,,255,none,2.55E-07,one,X,IGNORE
2000021,0,none,0,one,,,0,none,0,one,,
2000022,0,none,0,one,,,0,none,0,one,,
2000023,0,none,0,one,,,0,none,0,one,,
2000024,0,none,0,one,,,0,none,0,one,,
2000025,0,none,0,one,,,0,none,0,one,,
2000026,0,none,0,one,,,0,none,0,one,,
2000027,0,none,0,one,,,0,none,0,one,,
2000028,0,none,0,one,,,0,none,0,one,,
2000029,0,none,0,one,,,0,none,0,one,,
2000030,0,none,0,one,,,0,none,0,one,,
2000031,0,none,0,one,,,0,none,0,one,,
2000032,0,none,0,one,,,0,none,0,one,,
2000033,0,none,0,one,,,0,none,0,one,,
2000034,0,none,0,one,,,0,none,0,one,,
2000035,0,none,0,one,,,0,none,0,one,,
2000036,0,none,0,one,,,0,none,0,one,,
2000037,0,none,0,one,,,0,none,0,one,,
2000038,0,none,0,one,,,0,none,0,one,,
2000039,0,none,0,one,,,0,none,0,one,,
2000040,0,none,0,one,,,0,none,0,one,,
2000041,0,none,0,one,,,0,none,0,one,,
2000042,0,none,0,one,,,0,none,0,one,,
2000043,0,none,0,one,,,0,none,0,one,,
2000044,0,none,0,one,,,0,none,0,one,,
2000045,0,none,0,one,,,0,none,0,one,,
2000046,0,none,0,one,,,0,none,0,one,,
2000047,0,none,0,one,,,0,none,0,one,,
230020,0,none,0,one,,,1,none,1.00E-09,one,X,IGNORE
240020,0,none,0,one,,,0,none,0,one,,
2100000,0,none,0,one,,,0,none,0,one,,
2100001,0,none,0,one,,,0,none,0,one,,
2100002,0,none,0,one,,,0,none,0,one,,
2100003,0,none,0,one,,,0,none,0,one,,
2100004,0,none,0,one,,,0,none,0,one,,
2100005,0,none,0,one,,,0,none,0,one,,
2100006,0,none,0,one,,,0,none,0,one,,
2100007,0,none,0,one,,,0,none,0,one,,
2100008,0,none,0,one,,,0,none,0,one,,
2100009,0,none,0,one,,,0,none,0,one,,
2100010,0,none,0,one,,,0,none,0,one,,
2100011,0,none,0,one,,,0,none,0,one,,
2100012,0,none,0,one,,,0,none,0,one,,
2100013,0,none,0,one,,,0,none,0,one,,
2100014,0,none,0,one,,,0,none,0,one,,
2100015,0,none,0,one,,,0,none,0,one,,
2100016,0,none,0,one,,,0,none,0,one,,
2100017,0,none,0,one,,,255,none,2.55E-07,one,X,IGNORE
2100018,0,none,0,one,,,255,none,2.55E-07,one,X,IGNORE
2100019,0,none,0,one,,,255,none,2.55E-07,one,X,IGNORE
2100020,0,none,0,one,,,255,none,2.55E-07,one,X,IGNORE
2100021,0,none,0,one,,,0,none,0,one,,
2100022,0,none,0,one,,,0,none,0,one,,
2100023,0,none,0,one,,,0,none,0,one,,
2100024,0,none,0,one,,,0,none,0,one,,
2100025,0,none,0,one,,,0,none,0,one,,
2100026,0,none,0,one,,,0,none,0,one,,
2100027,0,none,0,one,,,0,none,0,one,,
2100028,0,none,0,one,,,0,none,0,one,,
2100029,0,none,0,one,,,0,none,0,one,,
2100030,0,none,0,one,,,0,none,0,one,,
2100031,0,none,0,one,,,0,none,0,one,,
2100032,0,none,0,one,,,0,none,0,one,,
2100033,0,none,0,one,,,0,none,0,one,,
2100034,0,none,0,one,,,0,none,0,one,,
2100035,0,none,0,one,,,0,none,0,one,,
2100036,0,none,0,one,,,0,none,0,one,,
2100037,0,none,0,one,,,0,none,0,one,,
2100038,0,none,0,one,,,0,none,0,one,,
2100039,0,none,0,one,,,0,none,0,one,,
2100040,0,none,0,one,,,0,none,0,one,,
2100041,0,none,0,one,,,0,none,0,one,,
2100042,0,none,0,one,,,0,none,0,one,,
2100043,0,none,0,one,,,0,none,0,one,,
2100044,0,none,0,one,,,0,none,0,one,,
2100045,0,none,0,one,,,0,none,0,one,,
2100046,0,none,0,one,,,0,none,0,one,,
2100047,0,none,0,one,,,0,none,0,one,,
250010,0,none,0,one,,,0,none,0,one,,
250030,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
250040,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
250050,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
250055,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
250060,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
250070,nan,nan,-3.40E+29,one,,,nan,nan,3.40E+29,one,,
