Info,Envision,R15.7.2
Info,ProgramName,VK78ABXtp01FSeng01
Info,TimeStamp,Wed Feb 9 17:00:45 2022
Info,Device,VK78A-0B
Info,LotID,DLOG_CHECK
Info,SubLotID,
Info,TesterName,ltxcx002
Info,TesterType,Fusion_CX
Info,Operator,skipall
Info,FabID,
Info,Flow,PST_BUMP
Info,AdapterBoard,VK76_Octal_FS_01
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
1052160,-59.931,nA,985.467,nA,Pre-Stress_Ibstq_LSon_16V
1052170,-0.473,uA,0.589,uA,Pre-Stress_Ldoin_LSon_16V
1052210,15.950,V,16.050,V,Pre-Stress_VXVerify_HSon_16V
1052230,-11,uA,-2.951,uA,Pre-Stress_Ipgm1q_HSon_16V
1052235,1.140,mA,2.658,mA,Pre-Stress_Iddq_HSon_16V
1052240,-0.036,uA,0.743,uA,Pre-Stress_Iccq_Nom_HSon_16V
1052241,-0.077,uA,0.899,uA,Pre-Stress_Iccq_1.7V_HSon_16V
1052242,-0.064,uA,1.006,uA,Pre-Stress_Iccq_1.9V_HSon_16V
1052245,2.108,uA,86.548,uA,Pre-Stress_Iddhq_HSon_16V
1052250,-39.500,uA,23.768,uA,Pre-Stress_Iddhq_rst_HSon_16V
1052260,-24.978,nA,1242.445,nA,Pre-Stress_Ibstq_HSon_16V
1052270,-407.641,nA,511.268,nA,Pre-Stress_Ldoin_HSon_16V
1052280,-3.090,uA,35.967,uA,Pre-Stress_Iddq_AllOff_16V
17200010,-500,mV,0,mV,Stress_VXVerify_BothOff_18V
17200030,-9.909,uA,-7.866,uA,Stress_Ipgm1q_BothOff_18V
17200035,1.754,mA,1.984,mA,Stress_Iddq_BothOff_18V
17200040,-11.302,nA,178.793,nA,Stress_Iccq_Nom_BothOff_18V
17200041,-78.470,nA,217.163,nA,Stress_Iccq_1.7V_BothOff_18V
17200042,-42.252,nA,242.713,nA,Stress_Iccq_1.9V_BothOff_18V
17200045,7.701,uA,10.413,uA,Stress_Iddhq_BothOff_18V
17200050,-0.737,uA,1.077,uA,Stress_Iddhq_rst_BothOff_18V
17200060,-2.002,nA,255.284,nA,Stress_Ibstq_BothOff_18V
17200070,-0.109,uA,0.136,uA,Stress_Ldoin_BothOff_18V
1005010,1.780,V,1.850,V,T005.DrySw.AVDD.voltage
1005030,1.750,V,1.900,V,T005.DrySw.VCC.voltage
1005050,16.500,V,17.500,V,T005.DrySw.VDDH.voltage
1005070,5,mA,13.766,mA,T005.DrySw.AVDD.current
1005110,2,mA,51.800,mA,T005.DrySw.VDDH.current
1006110,19,V,28,V,T006.BVDSS_LS_100ms
1006120,19,V,28,V,T006.BVDSS_LS_500ms
1006130,19,V,28,V,T006.BVDSS_LS_1s
1006140,19,V,28,V,T006.BVDSS_LS_1.5s
1006150,21,V,28,V,T006.BVDSS_LS_3s
1006310,18,V,26,V,T006.BVDSS_HS_100ms
1006320,18,V,26,V,T006.BVDSS_HS_500ms
