Info,Envision,R15.7.2
Info,ProgramName,VK78ABAtp01FTCHAR_SS_eng01
Info,TimeStamp,Mon Feb 21 18:57:37 2022
Info,Device,MAX20810_VK78A-0B
Info,LotID,DLOG_CHECK
Info,SubLotID,
Info,TesterName,ltxcx064
Info,TesterType,Fusion_MX20C
Info,Operator,skipall
Info,FabID,
Info,Flow,CHAR_ROOM_QFN
Info,AdapterBoard,VK76_SS
,,
,,
Test#,Minimum,Unit,Maximum,Unit,Test Description
2000013,0,none,255,none,pre
2000014,0,none,255,none,pre
2000015,0,none,255,none,pre
2000016,0,none,255,none,pre
2000017,0,none,255,none,pre
2000018,0,none,255,none,pre
2000019,0,none,255,none,pre
2000020,0,none,255,none,pre
2000021,0,none,255,none,pre
2000022,0,none,255,none,pre
2000023,0,none,255,none,pre
2000024,0,none,255,none,pre
2000025,0,none,255,none,pre
2000026,0,none,255,none,pre
2000027,0,none,255,none,pre
2000028,0,none,255,none,pre
2000029,0,none,255,none,pre
2000030,0,none,255,none,pre
2000031,0,none,255,none,pre
2000032,0,none,255,none,pre
2000033,0,none,255,none,pre
2000034,0,none,255,none,pre
2000035,0,none,255,none,pre
2000036,0,none,255,none,pre
2000037,0,none,255,none,pre
2000038,0,none,255,none,pre
2000039,0,none,255,none,pre
2000040,0,none,255,none,pre
2000041,0,none,255,none,pre
2000042,0,none,255,none,pre
2000043,0,none,255,none,pre
2000044,0,none,255,none,pre
2000045,0,none,255,none,pre
2000046,0,none,255,none,pre
2000047,0,none,255,none,pre
230020,0,none,1,none,trims
240020,0,none,0,none,read
240050,1,none,1,none,post
240060,1,none,1,none,post
240070,1,none,1,none,post
2100000,0,none,255,none,post
2100001,128,none,255,none,post
2100002,0,none,255,none,post
2100003,0,none,255,none,post
2100004,0,none,255,none,post
2100005,203,none,255,none,post
2100006,84,none,255,none,post
2100007,0,none,255,none,post
2100008,0,none,255,none,post
2100009,0,none,255,none,post
2100010,0,none,255,none,post
2100011,0,none,255,none,post
2100012,0,none,255,none,post
2100013,0,none,255,none,post
2100014,0,none,255,none,post
2100015,0,none,255,none,post
2100016,0,none,255,none,post
2100017,0,none,255,none,post
2100018,0,none,255,none,post
2100019,0,none,255,none,post
2100020,0,none,255,none,post
2100021,12,none,255,none,post
2100022,37,none,255,none,post
2100023,12,none,255,none,post
2100024,53,none,255,none,post
2100025,12,none,255,none,post
2100026,77,none,255,none,post
2100027,156,none,255,none,post
2100028,93,none,255,none,post
2100029,156,none,255,none,post
2100030,109,none,255,none,post
2100031,156,none,255,none,post
2100032,141,none,255,none,post
2100033,160,none,255,none,post
2100034,160,none,255,none,post
2100035,10,none,255,none,post
2100036,62,none,255,none,post
2100037,2,none,255,none,post
2100038,144,none,255,none,post
2100039,74,none,255,none,post
2100040,71,none,255,none,post
2100041,72,none,255,none,post
2100042,2,none,255,none,post
2100043,160,none,255,none,post
2100044,192,none,255,none,post
2100045,0,none,255,none,post
