Test#,DlogMin,DlogUnit,LGMin,LGUnit,CompareMin,,DlogMax,DlogUnit,LGMax,LGUnit,CompareMax
1002142,-7.612,uA,-7.612062,uA,,,84.997,uA,84.99745,uA,
1002145,0.261,uA,0.2608731,uA,,,34.187,uA,34.18696,uA,
1002150,-13.422,nA,-13.42161,nA,,,253.412,nA,253.412,nA,
1002160,-48.685,nA,-48.68519,nA,,,647.069,nA,647.0691,nA,
1002170,-38.647,nA,-38.64738,nA,,,-2.068,nA,-2.06799,nA,
1002210,11.98,V,11.98,V,,,12.01,V,12.01,V,
1002230,-16.039,uA,-16.03926,uA,,,-1.892,uA,-1.89215,uA,
1002235,1.1,mA,1.099961,mA,,,2.808,mA,2.808101,mA,
1002240,-59.315,nA,-59.31503,nA,,,698.88,nA,698.8803,nA,
1002241,-58.265,nA,-58.26548,nA,,,607.114,nA,607.1145,nA,
1002242,-75.352,nA,-75.35198,nA,,,2781.81,nA,2781.81,nA,
1002245,0.235,uA,0.2351592,uA,,,35.11,uA,35.11031,uA,
1002250,-0.057,uA,-0.05725062,uA,,,0.774,uA,0.7742968,uA,
1002260,43.116,nA,43.11575,nA,,,874.63,nA,874.6301,nA,
1002270,-20.249,nA,-20.24937,nA,,,12.0,nA,-4.717664,nA,X
1002280,-8.667,uA,-8.667348,uA,,,46.261,uA,46.26078,uA,
1004510,0.0,none,0.0,one,,,0.0,none,0.0,one,
1004530,0.0,none,0.0,one,,,0.0,none,0.0,one,
1004570,0.0,none,0.0,one,,,0.0,none,0.0,one,
220020,0.0,none,0.0,one,,,0.0,none,0.0,one,
220030,0.0,none,0.0,one,,,138.0,none,138.0,one,
220050,1.0,none,1.0,none,,,1.0,none,1.0,none,
220060,1.0,none,1.0,none,,,1.0,none,1.0,none,
220070,1.0,none,1.0,none,,,1.0,none,1.0,none,
2000000,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000001,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000002,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000003,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000004,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000005,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000006,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000007,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000008,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000009,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000010,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000011,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000012,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000013,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000014,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000015,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000016,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000017,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000018,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000019,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000020,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000021,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000022,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000023,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000024,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000025,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000026,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000027,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000028,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000029,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000030,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000031,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000032,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000033,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000034,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000035,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000036,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000037,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000038,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000039,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000040,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000041,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000042,0.0,none,0.0,one,,,255.0,none,255.0,one,
2000043,0.0,none,0.0,one,,,255.0,none,255.0,one,
